NO,Mode,Defect Type,Location,Serial Number,Result,Date,Start Time,End Time,User,Placement Route Step,位置,机检,Error Code,Material_no,CamName,
1,N19-NEW,未复判,C0300,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,1:缺件;NG,缺失,C0603,上相机,
2,N19-NEW,未复判,C0303,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,1:缺件;NG,缺失,C0603,上相机,
3,N19-NEW,未复判,C0302,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,1:缺件;NG,缺失,C0603,上相机,
4,N19-NEW,未复判,C0301,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,1:缺件;NG,缺失,C0603,上相机,
5,N19-NEW,未复判,J0301,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,2:缺失,缺失,Connector1,上相机,
6,N19-NEW,未复判,R0310,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,1:TVI-63,缺失,R1005,上相机,
7,N19-NEW,未复判,R0300,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,1:TVI-63,缺失,R1005,上相机,
8,N19-NEW,未复判,C0322,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,1:缺件;NG,缺失,C0603,上相机,
9,N19-NEW,未复判,C0325,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,1:缺件;NG,缺失,C0603,上相机,
10,N19-NEW,未复判,C0324,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,1:缺件;NG,缺失,C0603,上相机,
11,N19-NEW,未复判,DZ0320,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,2:TVI-64,缺失,R0603-1,上相机,
12,N19-NEW,未复判,DZ0316,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,2:TVI-64,缺失,R0603-1,上相机,
13,N19-NEW,未复判,DZ0318,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,2:TVI-64,缺失,R0603-1,上相机,
14,N19-NEW,未复判,DZ0317,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,2:TVI-64,缺失,R0603-1,上相机,
15,N19-NEW,未复判,DZ0330,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,2:TVI-64,缺失,R0603-1,上相机,
16,N19-NEW,未复判,DZ0331,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,2:TVI-64,缺失,R0603-1,上相机,
17,N19-NEW,未复判,DZ0337,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,2:TVI-64,缺失,R0603-1,上相机,
18,N19-NEW,未复判,DZ0332,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,2:TVI-64,缺失,R0603-1,上相机,
19,N19-NEW,未复判,DZ0333,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,2:TVI-64,缺失,R0603-1,上相机,
20,N19-NEW,未复判,DZ0303,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,2:TVI-64,缺失,R0603-1,上相机,
21,N19-NEW,未复判,DZ0336,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,TVI-28,缺失,R0603-1,上相机,
22,N19-NEW,未复判,DZ0300,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,2:TVI-64,缺失,R0603-1,上相机,
23,N19-NEW,未复判,DZ0301,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,2:TVI-64,缺失,R0603-1,上相机,
24,N19-NEW,未复判,DZ0302,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,2:TVI-64,缺失,R0603-1,上相机,
25,N19-NEW,未复判,DZ0315,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,2:TVI-64,缺失,R0603-1,上相机,
26,N19-NEW,未复判,J0300,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,4:脏污;OK;OK;OK;OK,缺失,Connector2,上相机,
27,N19-NEW,未复判,PCB3,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,TVI-28;cu tape偏移;TVI-53;OK;NG,cu tape偏移,PCB3,上相机,
28,N19-NEW,未复判,BS0302,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,TVI-28,缺失,MCO2-1,上相机,
29,N19-NEW,未复判,BS0300,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,1:TVI-62,缺失,MCO2,上相机,
30,N19-NEW,未复判,BS0301,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,1:TVI-62,缺失,MCO2,上相机,
31,N19-NEW,未复判,5,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,金手指沾锡,金手指污染,Jin,上相机,
32,N19-NEW,未复判,1,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,金手指沾锡,金手指污染,Jin,上相机,
33,N19-NEW,未复判,4,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,金手指异物,金手指污染,Jin11,上相机,
34,N19-NEW,未复判,3,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,金手指异物,金手指污染,Jin11,上相机,
35,N19-NEW,未复判,2,AAN28S7925A6A30042,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,1,金手指异物,金手指污染,Jin11,上相机,
1,N19-NEW,未复判,C0300,AAN28S7925A6A30020,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,2,1:缺件;NG,缺失,C0603,上相机,
2,N19-NEW,未复判,C0303,AAN28S7925A6A30020,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,2,1:缺件;NG,缺失,C0603,上相机,
3,N19-NEW,未复判,C0302,AAN28S7925A6A30020,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,2,1:缺件;NG,缺失,C0603,上相机,
4,N19-NEW,未复判,C0301,AAN28S7925A6A30020,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,2,1:缺件;NG,缺失,C0603,上相机,
5,N19-NEW,未复判,J0301,AAN28S7925A6A30020,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,2,2:缺失,缺失,Connector1,上相机,
6,N19-NEW,未复判,R0310,AAN28S7925A6A30020,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,2,1:TVI-63,缺失,R1005,上相机,
7,N19-NEW,未复判,R0300,AAN28S7925A6A30020,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,2,1:TVI-63,缺失,R1005,上相机,
8,N19-NEW,未复判,C0322,AAN28S7925A6A30020,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,2,1:缺件;NG,缺失,C0603,上相机,
9,N19-NEW,未复判,C0325,AAN28S7925A6A30020,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,2,1:缺件;NG,缺失,C0603,上相机,
10,N19-NEW,未复判,C0324,AAN28S7925A6A30020,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,2,1:缺件;NG,缺失,C0603,上相机,
11,N19-NEW,未复判,DZ0320,AAN28S7925A6A30020,Fail,2024 04 03,09:02:46,09:03:02,Eros,AVI3000,2,2:TVI-64,缺失,R0603-1,上相机,
